Name,KM,Fuel Type,Manufacturing Year,Registration Year,No of Owners,Transmission,Color,Location,Engine Capacity (cc),Mileage (kmpl),Length (mm),Width (mm),Height (mm),Wheelbase (mm),Seating Capacity,Fuel Tank Capacity (L),Seat Belt Warning,Heater,Cruise Control,Child Safety Lock,Speed Sensing Door Lock,Rain-sensing Wipers,Rear Wiper,New Car Price (Lakh),Old Car Price (Lakh),IMG
2017 Audi Q7 45 TDI Technology Pack,131371,Diesel,2017,2017,First,Automatic,White,"Vastrapur, Ahmedabad",2967.0,14.75,5052,1968,1740,2994,7,75.0,1,1,1,1,1,1,1,89.78,27.81,https://imgd.aeplcdn.com/640X480/vimages/202607/4651462_156728_1782975501553.jpg?qp=80&fit=true
2017 Audi Q7 45 TDI Technology Pack,94000,Diesel,2017,2026,First,Automatic,Black,"Bodakdev, Ahmedabad",2967.0,14.75,5052,1968,1740,2994,7,75.0,1,1,1,1,1,1,1,89.78,27.89,https://imgd.aeplcdn.com/640X480/vimages/202606/4606891_53026_1_1781087765763.jpg?qp=80&fit=true
2021 BMW 3 Series Gran Limousine 320Ld Luxury Line,43000,Diesel,2021,2022,First,Automatic,Silver,"Makarba, Ahmedabad",1995.0,19.6,4819,1827,1441,2961,5,59.0,1,1,1,1,0,1,0,63.2,33.92,https://imgd.aeplcdn.com/640X480/vimages/202604/4507846_3609_1776490761080.jpg?qp=80&fit=true
2016 BMW 3-Series 320d Luxury Line,63000,Diesel,2016,2016,Second,Automatic,Blue,"Ambli, Ahmedabad",1995.0,22.69,4633,1811,1429,2810,5,57.0,1,1,0,1,1,1,0,50.38,15.12,https://imgd.aeplcdn.com/640X480/vimages/202607/4664728_16599_1_1783587696806.jpg?qp=80&fit=true
2019 BMW 3-Series 320d Luxury Line [2019-2020],66392,Diesel,2019,2019,First,Automatic,White,"Vastrapur, Ahmedabad",1995.0,20.37,4709,1827,1435,2851,5,40.0,1,1,1,1,1,1,0,52.72,23.27,https://imgd.aeplcdn.com/640X480/vimages/202607/4597534_156728_1782980613594.jpg?qp=80&fit=true
2018 BMW 3-Series 320d Sport Shadow Edition,76744,Diesel,2018,2018,First,Automatic,Blue,"Bopal, Ahmedabad",1995.0,22.69,4633,1811,1429,2810,5,57.0,1,1,0,1,1,1,0,46.07,18.89,https://imgd.aeplcdn.com/640X480/vimages/202606/4638426_113237_1_1782390386513.jpg?qp=80&fit=true
2020 BMW 5-Series 530d M Sport,22000,Diesel,2020,2020,First,Automatic,Silver,"Jivraj Park, Ahmedabad",2993.0,17.42,4936,1868,1466,2975,5,66.0,1,1,1,1,1,1,0,77.03,43.98,https://imgd.aeplcdn.com/640X480/vimages/202607/4651198_133865_1_1782928368875.jpg?qp=80&fit=true
2022 BMW 5-Series 520d Luxury Line,28870,Diesel,2022,2022,First,Automatic,Black,"Jivraj Park, Ahmedabad",1995.0,20.3,4963,1868,1467,2975,5,66.0,1,1,1,1,1,1,0,74.52,50.39,https://imgd.aeplcdn.com/640X480/vimages/202607/4671928_133865_1_1783932526335.jpg?qp=80&fit=true
2021 BMW 5-Series 520d Luxury Line,70000,Diesel,2021,2021,Second,Automatic,Grey,"Jivraj Park, Ahmedabad",1995.0,20.3,4963,1868,1467,2975,5,66.0,1,1,1,1,1,1,0,74.52,40.87,https://imgd.aeplcdn.com/640X480/vimages/202606/4636335_133865_1_1782318910323.jpg?qp=80&fit=true
2025 BMW 5-Series 530Li Petrol 2.0L Turbo Automatic,4494,Petrol,2025,2025,First,Automatic,Blue,"Makarba, Ahmedabad",1998.0,15.7,5165,2156,1518,3105,5,60.0,1,1,1,1,1,1,0,83.95,72.5,https://imgd.aeplcdn.com/640X480/vimages/202607/4650151_6145_1_1782904144396.jpg?qp=80&fit=true
2022 BMW 5-Series 520d Luxury Line,27870,Diesel,2022,2022,First,Automatic,Black,"Jivraj Park, Ahmedabad",1995.0,20.3,4963,1868,1467,2975,5,66.0,1,1,1,1,1,1,0,74.52,50.43,https://imgd.aeplcdn.com/640X480/vimages/202607/4655515_133865_1_1783141792553.jpg?qp=80&fit=true
2020 BMW 5-Series 530d M Sport,22000,Diesel,2020,2020,First,Automatic,White,"Jivraj Park, Ahmedabad",2993.0,17.42,4936,1868,1466,2975,5,66.0,1,1,1,1,1,1,0,77.03,43.98,https://imgd.aeplcdn.com/640X480/vimages/202607/4654441_133865_1_1783079966570.jpg?qp=80&fit=true
2021 BMW 5-Series 520d Luxury Line,69000,Diesel,2021,2021,Second,Automatic,Grey,"Jivraj Park, Ahmedabad",1995.0,20.3,4963,1868,1467,2975,5,66.0,1,1,1,1,1,1,0,74.52,40.91,https://imgd.aeplcdn.com/640X480/vimages/202607/4654685_133865_1_1783084905365.jpg?qp=80&fit=true
2020 BMW 6-Series GT 630i Luxury Line,29452,Petrol,2020,2020,First,Automatic,White,"Makarba, Ahmedabad",1998.0,13.32,5091,1902,1538,3070,5,68.0,1,1,1,1,1,1,0,73.32,43.31,https://imgd.aeplcdn.com/640X480/vimages/202607/4673692_6145_1_1784016367506.jpg?qp=80&fit=true
2019 BMW 6-Series GT 620d Luxury Line [2019-2019],65000,Diesel,2019,2019,First,Automatic,Blue,"Makarba, Ahmedabad",1995.0,21.76,5091,1902,1538,3070,5,66.0,1,1,1,1,1,1,0,71.28,37.04,https://imgd.aeplcdn.com/640X480/vimages/202512/4300108_3609_1766135441370.jpg?qp=80&fit=true
2014 BMW 7-Series 730 Ld Signature,76000,Diesel,2014,2014,Third,Automatic,White,"Vastrapur, Ahmedabad",2993.0,11.1,5219,1902,1481,3210,4,78.0,1,1,1,1,1,1,0,140.0,17.27,https://imgd.aeplcdn.com/640X480/vimages/202607/4597616_156728_1782980276086.jpg?qp=80&fit=true
2010 BMW 7-Series 730Ld Sedan,82482,Diesel,2010,2010,Third,Automatic,Black,"Vastrapur, Ahmedabad",2993.0,14.5,5212,2134,1484,3210,5,,1,1,1,1,0,1,0,108.0,10.79,https://imgd.aeplcdn.com/640X480/vimages/202607/4623362_156728_1782979402333.jpg?qp=80&fit=true
2019 BMW X1 sDrive20d xLine,52680,Diesel,2019,2019,First,Automatic,White,"Jivraj Park, Ahmedabad",1995.0,20.68,4439,1821,1612,2670,5,51.0,1,1,0,1,1,1,1,43.74,20.79,https://imgd.aeplcdn.com/640X480/vimages/202606/4619956_133865_1_1781605478855.jpg?qp=80&fit=true
2018 BMW X1 sDrive20d M Sport,85000,Diesel,2018,2018,First,Automatic,Blue,"Jivraj Park, Ahmedabad",1995.0,20.68,4439,1821,1612,2670,5,51.0,1,1,0,1,1,1,1,47.16,18.8,https://imgd.aeplcdn.com/640X480/vimages/202606/4636394_133865_1_1782322494133.jpg?qp=80&fit=true
2017 BMW X1 sDrive20d xLine,85000,Diesel,2017,2017,First,Automatic,White,"Ambli, Ahmedabad",1995.0,20.68,4439,1821,1612,2670,5,51.0,1,1,0,1,1,1,1,43.74,16.24,https://imgd.aeplcdn.com/640X480/vimages/202606/4634720_16599_1_1782284631354.jpg?qp=80&fit=true
2019 BMW X1 sDrive20i xLine,54000,Petrol,2019,2020,First,Automatic,White,"Vastrapur, Ahmedabad",1998.0,20.68,4439,1821,1612,2670,5,51.0,1,1,0,1,1,1,1,43.05,20.27,https://imgd.aeplcdn.com/640X480/vimages/202607/4623446_156728_1782979294780.jpg?qp=80&fit=true
2021 BMW X1 sDrive20i xLine,29000,Petrol,2021,2021,First,Automatic,Black,"Thaltej, Ahmedabad",1998.0,14.8,4447,1821,1598,2670,5,51.0,1,1,1,1,1,1,1,49.32,27.67,https://imgd.aeplcdn.com/640X480/vimages/202607/4666174_6434_1_1783665367082.jpg?qp=80&fit=true
2019 BMW X1 sDrive20d Expedition,51680,Diesel,2019,2019,First,Automatic,White,"Jivraj Park, Ahmedabad",1995.0,20.68,4439,1821,1612,2670,5,51.0,1,1,0,1,1,1,1,39.21,20.34,https://imgd.aeplcdn.com/640X480/vimages/202607/4655585_133865_1_1783143683762.jpg?qp=80&fit=true
2018 BMW X1 sDrive20d M Sport,84000,Diesel,2018,2018,Second,Automatic,Blue,"Jivraj Park, Ahmedabad",1995.0,20.68,4439,1821,1612,2670,5,51.0,1,1,0,1,1,1,1,47.16,17.73,https://imgd.aeplcdn.com/640X480/vimages/202607/4655571_133865_1_1783143413660.jpg?qp=80&fit=true
2019 BMW X1 sDrive20d M Sport,29000,Diesel,2019,2019,First,Automatic,Blue,"Jivraj Park, Ahmedabad",1995.0,20.68,4439,1821,1612,2670,5,51.0,1,1,0,1,1,1,1,47.16,23.46,https://imgd.aeplcdn.com/640X480/vimages/202607/4651234_133865_1_1782929901414.jpg?qp=80&fit=true
2013 BMW X3 xDrive20d,139000,Diesel,2013,2013,Third,Automatic,White,"Vastrapur, Ahmedabad",1995.0,16.09,4648,1881,1661,2810,5,67.0,1,1,1,1,0,1,0,54.04,8.42,https://imgd.aeplcdn.com/640X480/vimages/202607/4623547_156728_1782990839707.jpeg?qp=80&fit=true
2021 BMW X3 xDrive 30i Luxury Line,56051,Petrol,2021,2021,First,Automatic,White,"Makarba, Ahmedabad",1998.0,13.17,4708,1891,1676,2864,5,60.0,1,1,1,1,1,1,1,71.25,45.32,https://imgd.aeplcdn.com/640X480/vimages/202512/4301603_3609_1_1766225877690.jpg?qp=80&fit=true
2021 BMW X5 xDrive40i M Sport [2019-2023],40500,Petrol,2021,2021,First,Automatic,White,"Vastrapur, Ahmedabad",2998.0,11.2,4922,2004,1745,2975,5,83.0,1,1,1,1,1,1,1,108.0,62.29,https://imgd.aeplcdn.com/640X480/vimages/202607/4597295_156728_1782979803995.jpeg?qp=80&fit=true
2020 BMW X5 xDrive30d SportX,65044,Diesel,2020,2020,Second,Automatic,White,"Makarba, Ahmedabad",2993.0,13.38,4922,2004,1745,2975,5,80.0,1,1,1,1,1,1,1,85.93,43.89,https://imgd.aeplcdn.com/640X480/vimages/202606/4639262_6145_1_1782455364669.jpg?qp=80&fit=true
2018 BMW X5 xDrive 30d M Sport,58268,Diesel,2018,2018,Second,Automatic,White,"Makarba, Ahmedabad",2993.0,15.97,4886,1938,1762,2933,5,,1,1,1,1,1,1,1,91.78,38.57,https://imgd.aeplcdn.com/640X480/vimages/202607/4655772_6145_1_1783148382242.jpg?qp=80&fit=true
2022 BMW X5 xDrive30d xLine,28807,Diesel,2022,2022,First,Automatic,Bronze,"Makarba, Ahmedabad",2993.0,13.3,4922,2004,1745,2975,5,80.0,1,1,1,1,1,1,1,108.0,72.16,https://imgd.aeplcdn.com/640X480/vimages/202605/4571399_6145_1_1779367673504.jpg?qp=80&fit=true
2010 BMW X6 xDrive 30d,81736,Diesel,2010,2010,First,Automatic,White,"Jivraj Park, Ahmedabad",2993.0,,4877,1983,1669,2933,4,85.0,0,0,0,0,0,0,0,88.97,19.7,https://imgd.aeplcdn.com/640X480/vimages/202607/4654719_133865_1_1783085645758.jpg?qp=80&fit=true
2024 Citroen C3 Aircross Max 1.2 7 STR AT,13000,Petrol,2024,2024,First,Automatic,White,"Thaltej, Ahmedabad",1199.0,17.6,4323,1796,1669,2671,7,45.0,1,1,0,1,1,0,1,15.85,12.36,https://imgd.aeplcdn.com/640X480/vimages/202606/4638544_6434_1_1782393001623.jpg?qp=80&fit=true
2022 Citroen C3 X Feel 1.2 Petrol [2022],60728,Petrol,2022,2022,First,Manual,Grey,"Makarba, Ahmedabad",1198.0,19.8,3981,1733,1586,2540,5,30.0,1,1,0,1,1,0,0,7.63,5.0,https://imgd.aeplcdn.com/640X480/vimages/202606/4637315_3609_1782379969970.jpg?qp=80&fit=true
2022 Citroen C5 Aircross Shine,37500,Diesel,2022,2022,First,Automatic,Black,"Makarba, Ahmedabad",1997.0,18.6,4500,1969,1710,2730,5,52.5,1,1,1,1,1,1,1,37.77,24.83,https://imgd.aeplcdn.com/640X480/vimages/202606/4625465_3609_1781853932512.jpg?qp=80&fit=true
2018 Datsun Go T (O),45591,Petrol,2018,2018,First,Manual,White,"Mumatpura, Ahmedabad",1198.0,20.1,3785,1635,1485,2450,5,35.0,0,1,0,1,0,0,0,4.95,2.58,https://imgd.aeplcdn.com/640X480/vimages/202607/4654741_138023_1_1783085945341.jpg?qp=80&fit=true
2017 Datsun Redigo S 1.0 [2017-2019],22085,Petrol,2017,2017,First,Manual,White,"Gota, Ahmedabad",999.0,22.5,3429,1560,1541,2348,5,28.0,0,1,0,1,0,0,0,4.47,2.23,https://imgd.aeplcdn.com/640X480/vimages/202605/0_165002_1_1779277021276.jpg?qp=80&fit=true
2018 Datsun Redigo A [2016-2019],70975,Petrol,2018,2018,Third,Manual,Silver,"Mumatpura, Ahmedabad",799.0,22.7,3429,1560,1541,2348,5,28.0,0,1,0,1,0,0,0,3.62,1.68,https://imgd.aeplcdn.com/640X480/vimages/202605/4552533_138023_1_1778587565318.jpg?qp=80&fit=true
2019 Datsun Redigo A,38027,Petrol,2019,2019,Second,Manual,White,"Enasan, Ahmedabad",799.0,22.7,3429,1560,1541,2348,5,28.0,1,1,0,1,0,0,0,3.92,2.07,https://imgd.aeplcdn.com/640X480/vimages/202607/4669912_119938_1_1783792925094.jpg?qp=80&fit=true
2018 Datsun Redigo T(O) 1.0 AMT [2018-2019],59000,Petrol,2018,2018,First,Automatic,White,"Makarba, Ahmedabad",999.0,23.0,3429,1560,1541,2348,5,28.0,0,1,0,1,0,0,0,4.68,2.38,https://imgd.aeplcdn.com/640X480/vimages/202605/4554271_72787_1_1778671227537.jpg?qp=80&fit=true
2017 Datsun Redigo T (O) [2016-2019],116071,Petrol,2017,2017,First,Manual,Grey,"Enasan, Ahmedabad",799.0,22.7,3429,1560,1541,2348,5,28.0,0,1,0,1,0,0,0,4.03,1.87,https://imgd.aeplcdn.com/640X480/vimages/202607/4654891_119938_1_1783087565978.jpg?qp=80&fit=true
2019 Datsun Redigo S 1.0 AMT [2018-2019],29332,Petrol,2019,2019,Third,Automatic,Red,"Mumatpura, Ahmedabad",999.0,23.0,3429,1560,1541,2348,5,28.0,0,1,0,1,0,0,0,4.79,2.55,https://imgd.aeplcdn.com/640X480/vimages/202604/4503372_138023_1_1776259832116.jpg?qp=80&fit=true
2016 Datsun Redigo S [2016-2019],29435,Petrol,2016,2016,Second,Manual,Green,"Mumatpura, Ahmedabad",799.0,22.7,3429,1560,1541,2348,5,28.0,0,1,0,1,0,0,0,4.2,1.91,https://imgd.aeplcdn.com/640X480/vimages/202606/4611108_138023_1_1781175147264.jpg?qp=80&fit=true
2019 Datsun Redigo S 1.0,21884,Petrol,2019,2019,Second,Manual,Silver,"Gota, Ahmedabad",999.0,22.5,3429,1560,1541,2348,5,28.0,1,1,0,1,0,0,0,4.37,2.41,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1780464661283.jpg?qp=80&fit=true
2021 Ford Ecosport SE 1.5L Ti-VCT,37572,Petrol,2021,2021,First,Manual,White,"Gota, Ahmedabad",1496.0,15.9,3998,1765,1647,2519,5,52.0,1,1,1,1,1,1,1,11.98,8.03,https://imgd.aeplcdn.com/640X480/vimages/202605/0_165002_1_1778910242516.jpg?qp=80&fit=true
2018 Ford Ecosport Titanium + 1.5L Ti-VCT,104485,Petrol,2018,2018,First,Manual,White,"Gota, Ahmedabad",1497.0,16.3,3998,1765,1647,2519,5,52.0,1,1,1,1,1,1,1,11.78,5.63,https://imgd.aeplcdn.com/640X480/vimages/202607/0_165002_1_1783401782372.jpg?qp=80&fit=true
2017 Ford Ecosport Trend+ 1.0L EcoBoost,105083,Petrol,2017,2017,First,Manual,White,"Mumatpura, Ahmedabad",999.0,18.9,3999,1765,1708,2520,5,52.0,1,1,0,1,1,0,0,9.7,4.78,https://imgd.aeplcdn.com/640X480/vimages/202605/4538176_138023_1_1777931086392.png?qp=80&fit=true
2020 Ford Ecosport Titanium 1.5L Ti-VCT [2020-2021],67537,Petrol,2020,2020,First,Manual,White,"Mumatpura, Ahmedabad",1496.0,15.9,3998,1765,1647,2519,5,52.0,1,1,0,1,1,0,1,10.89,6.81,https://imgd.aeplcdn.com/640X480/vimages/202605/4556653_138023_1_1778778005958.jpg?qp=80&fit=true
2016 Ford Ecosport Titanium 1.5L TDCi,77171,Diesel,2016,2016,First,Manual,White,"Mumatpura, Ahmedabad",1498.0,22.27,3999,1765,1708,2520,5,52.0,1,1,0,1,1,0,1,11.0,5.17,https://imgd.aeplcdn.com/640X480/vimages/202607/4663739_138023_1_1783517945845.jpg?qp=80&fit=true
2018 Ford Ecosport Titanium 1.5L TDCi,105646,Diesel,2018,2018,First,Manual,White,"Mumatpura, Ahmedabad",1498.0,23.0,3998,1765,1647,2519,5,52.0,1,1,0,1,1,0,1,11.43,6.02,https://imgd.aeplcdn.com/640X480/vimages/202605/4538204_138023_1_1777931574267.jpg?qp=80&fit=true
2020 Ford Ecosport Titanium + 1.5L Ti-VCT,103850,Petrol,2020,2020,First,Manual,White,"Gota, Ahmedabad",1496.0,15.9,3998,1765,1647,2519,5,52.0,1,1,0,1,1,1,1,11.94,6.79,https://imgd.aeplcdn.com/640X480/vimages/202605/0_165002_1_1780030082275.jpg?qp=80&fit=true
2020 Ford Ecosport Titanium 1.5L Ti-VCT [2020-2021],67537,Petrol,2020,2020,First,Manual,White,"Enasan, Ahmedabad",1496.0,15.9,3998,1765,1647,2519,5,52.0,1,1,0,1,1,0,1,10.89,6.81,https://imgd.aeplcdn.com/640X480/vimages/202607/4654748_119938_1_1783086005730.jpg?qp=80&fit=true
2018 Ford Ecosport Titanium 1.5L Ti-VCT,83699,Petrol,2018,2018,Third,Manual,Brown,"Mumatpura, Ahmedabad",1497.0,17.0,3998,1765,1647,2519,5,52.0,1,1,0,1,1,0,1,10.65,4.69,https://imgd.aeplcdn.com/640X480/vimages/202605/4538224_138023_1_1777931713535.jpg?qp=80&fit=true
2019 Ford Ecosport Titanium 1.5L Ti-VCT,110355,Petrol,2019,2019,First,Manual,Silver,"Enasan, Ahmedabad",1497.0,17.0,3998,1765,1647,2519,5,52.0,1,1,0,1,1,0,1,10.65,5.72,https://imgd.aeplcdn.com/640X480/vimages/202606/4632239_119938_1_1782142925062.jpg?qp=80&fit=true
2018 Ford Ecosport Titanium 1.5L Ti-VCT,68907,Petrol,2018,2018,First,Manual,Brown,"Gota, Ahmedabad",1497.0,17.0,3998,1765,1647,2519,5,52.0,1,1,0,1,1,0,1,10.65,5.58,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1782106743483.jpg?qp=80&fit=true
2016 Ford Ecosport Titanium 1.5L TDCi,136220,Diesel,2016,2016,Second,Manual,Silver,"Enasan, Ahmedabad",1498.0,22.27,3999,1765,1708,2520,5,52.0,1,1,0,1,1,0,1,11.0,4.61,https://imgd.aeplcdn.com/640X480/vimages/202607/4649307_119938_1_1782889085566.jpg?qp=80&fit=true
2019 Ford Ecosport Titanium 1.5L Ti-VCT,79047,Petrol,2019,2019,First,Manual,White,"Mumatpura, Ahmedabad",1497.0,17.0,3998,1765,1647,2519,5,52.0,1,1,0,1,1,0,1,10.65,5.97,https://imgd.aeplcdn.com/640X480/vimages/202606/4628419_138023_1_1781957225082.jpg?qp=80&fit=true
2017 Ford Ecosport Titanium 1.5L TDCi,79909,Diesel,2017,2017,First,Manual,White,"Mumatpura, Ahmedabad",1498.0,23.0,3998,1765,1647,2519,5,52.0,1,1,0,1,1,0,1,11.43,5.7,https://imgd.aeplcdn.com/640X480/vimages/202605/4538587_138023_1_1777935125619.jpg?qp=80&fit=true
2019 Ford Ecosport Titanium 1.5L Ti-VCT,44213,Petrol,2019,2019,First,Manual,White,"Gota, Ahmedabad",1497.0,17.0,3998,1765,1647,2519,5,52.0,1,1,0,1,1,0,1,10.65,6.33,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1780727764815.jpg?qp=80&fit=true
2013 Ford Ecosport Titanium 1.5 TDCi,73266,Diesel,2013,2013,Second,Manual,Silver,"Mumatpura, Ahmedabad",1498.0,22.7,3999,1765,1708,2520,5,52.0,1,1,0,1,1,0,1,10.96,3.44,https://imgd.aeplcdn.com/640X480/vimages/202605/4536451_138023_1_1777878484486.jpg?qp=80&fit=true
2016 Ford Ecosport Titanium 1.5L Ti-VCT AT,62340,Petrol,2016,2016,First,Automatic,White,"Mumatpura, Ahmedabad",1499.0,15.6,3999,1765,1708,2520,5,52.0,1,1,0,1,1,0,1,10.99,4.85,https://imgd.aeplcdn.com/640X480/vimages/202605/4541270_138023_1_1778052545444.jpg?qp=80&fit=true
2015 Ford Ecosport Titanium 1.5 TDCi,88883,Diesel,2015,2015,First,Manual,Grey,"Mumatpura, Ahmedabad",1498.0,22.7,3999,1765,1708,2520,5,52.0,1,1,0,1,1,0,1,10.96,4.81,https://imgd.aeplcdn.com/640X480/vimages/202605/4536475_138023_1_1777878656470.jpg?qp=80&fit=true
